state,pollster,start_date,end_date,sample_size,Trump,Harris,Other
Arizona,YouGov,2024-10-11,2024-10-16,1435.0,51.0,48.0,1.0
Arkansas,Hendrix College,2024-09-05,2024-09-06,696.0,55.0,40.0,5.0
California,ActiVote,2024-10-07,2024-10-27,400.0,37.2,62.8,0.0
California,ActiVote,2024-08-02,2024-08-19,400.0,34.7,65.3,0.0
California,ActiVote,2024-08-21,2024-09-21,400.0,36.0,64.0,0.0
California,ActiVote,2024-09-22,2024-10-10,400.0,36.5,63.5,0.0
California,Emerson,2024-10-12,2024-10-14,1000.0,36.6,61.0,2.3999999999999986
California,Emerson,2024-09-03,2024-09-05,815.0,38.0,60.8,1.2000000000000028
California,YouGov,2024-10-07,2024-10-17,1139.0,34.0,63.0,3.0
California,Capitol Weekly,2024-09-11,2024-09-16,1054.0,34.0,59.0,7.0
California,Capitol Weekly,2024-08-23,2024-08-26,3154.0,35.5,58.0,6.5
California,Capitol Weekly,2024-07-25,2024-07-27,1904.0,35.0,59.0,6.0
California,Capitol Weekly,2024-08-13,2024-08-15,1738.0,36.5,57.0,6.5
California,PPIC,2024-08-29,2024-09-09,1071.0,29.0,60.0,11.0
California,PPIC,2024-10-07,2024-10-15,1137.0,33.0,59.0,8.0
California,UC Berkeley,2024-09-25,2024-10-01,3045.0,35.0,57.0,8.0
California,UC Berkeley,2024-07-31,2024-08-11,3765.0,34.0,59.0,7.0
California,USC Dornsife/CSU Long Beach/Cal Poly Pomona,2024-09-12,2024-09-25,1685.0,35.5,57.7,6.799999999999997
Colorado,ActiVote,2024-09-15,2024-10-19,400.0,41.3,58.7,0.0
Colorado,Morning Consult,2024-08-30,2024-09-08,498.0,40.08,54.8,5.1200000000000045
Colorado,Morning Consult,2024-09-09,2024-09-18,512.0,42.42,52.5,5.079999999999998
Colorado,Keating Research,2024-09-11,2024-09-14,500.0,42.0,53.0,5.0
Connecticut,MassINC Polling Group,2024-09-12,2024-09-18,800.0,37.0,53.0,10.0
Delaware,Slingshot Strategies,2024-09-19,2024-09-21,500.0,37.0,54.0,9.0
Delaware,University of Delaware,2024-09-11,2024-09-19,383.0,35.9,55.6,8.499999999999993
Florida,Florida Atlantic University/Mainstreet Research,2024-10-19,2024-10-27,897.0,53.0,44.0,3.0
Florida,Florida Atlantic University/Mainstreet Research,2024-10-19,2024-10-27,913.0,53.0,44.0,3.0
Florida,Florida Atlantic University/Mainstreet Research,2024-08-10,2024-08-11,1040.0,48.5,46.0,5.5
Florida,Florida Atlantic University/Mainstreet Research,2024-08-10,2024-08-11,1055.0,48.0,45.0,7.0
Florida,Bullfinch,2024-09-20,2024-09-23,600.0,48.0,47.0,5.0
Florida,ActiVote,2024-10-07,2024-10-20,400.0,54.6,45.4,0.0
Florida,ActiVote,2024-09-17,2024-10-06,400.0,53.0,47.0,0.0
Florida,ActiVote,2024-10-11,2024-10-27,400.0,55.8,44.2,0.0
Florida,ActiVote,2024-08-16,2024-08-31,400.0,53.4,46.6,0.0
Florida,ActiVote,2024-08-05,2024-08-15,400.0,54.1,45.9,0.0
Florida,CES / YouGov,2024-10-01,2024-10-25,5916.0,52.0,46.0,2.0
Florida,CES / YouGov,2024-10-01,2024-10-25,5952.0,51.0,47.0,2.0
Florida,Emerson,2024-09-03,2024-09-05,815.0,51.1,47.6,1.2999999999999972
Florida,Emerson,2024-10-18,2024-10-20,860.0,53.6,45.9,0.5
Florida,Marist,2024-10-03,2024-10-07,1257.0,51.0,47.0,2.0
Florida,Marist,2024-10-03,2024-10-07,1410.0,51.0,47.0,2.0
Florida,Morning Consult,2024-08-30,2024-09-08,3182.0,49.12,47.05,3.8300000000000054
Florida,Morning Consult,2024-09-09,2024-09-18,2948.0,49.52,46.8,3.6799999999999997
Florida,PPP,2024-09-25,2024-09-26,808.0,49.5,45.5,5.0
Florida,PPP,2024-08-21,2024-08-22,837.0,49.5,46.0,4.5
Florida,RMG Research,2024-09-25,2024-09-27,774.0,50.0,48.0,2.0
Florida,RMG Research,2024-10-14,2024-10-17,788.0,52.0,47.0,1.0
Florida,Redfield & Wilton Strategies,2024-09-27,2024-10-02,2946.0,49.0,45.0,6.0
Florida,Redfield & Wilton Strategies,2024-09-06,2024-09-09,1465.0,50.0,44.0,6.0
Florida,Redfield & Wilton Strategies,2024-10-12,2024-10-14,1009.0,50.0,44.0,6.0
Florida,Redfield & Wilton Strategies,2024-07-22,2024-07-24,572.0,47.0,39.0,14.0
Florida,Redfield & Wilton Strategies,2024-08-25,2024-08-28,850.0,48.0,43.0,9.0
Florida,Redfield & Wilton Strategies,2024-10-16,2024-10-18,1275.0,49.0,45.0,6.0
Florida,Redfield & Wilton Strategies,2024-07-31,2024-08-03,976.0,47.0,41.0,12.0
Florida,Redfield & Wilton Strategies,2024-08-12,2024-08-15,1296.0,48.0,43.0,9.0
Florida,Redfield & Wilton Strategies,2024-09-16,2024-09-19,1602.0,50.0,45.0,5.0
Florida,Siena/NYT,2024-09-29,2024-10-06,622.0,53.75,40.5,5.75
Florida,Suffolk,2024-08-07,2024-08-11,500.0,46.8,41.8,11.400000000000006
Florida,YouGov,2024-10-07,2024-10-17,1094.0,51.0,46.0,3.0
Florida,YouGov,2024-10-07,2024-10-17,1076.0,51.0,46.0,3.0
Florida,McLaughlin,2024-08-06,2024-08-08,800.0,52.0,44.0,4.0
Florida,McLaughlin,2024-09-23,2024-09-25,1200.0,51.0,46.0,3.0
Florida,Cherry Communications,2024-10-10,2024-10-20,614.0,51.0,45.0,4.0
Florida,Cherry Communications,2024-08-15,2024-08-26,600.0,52.0,45.0,3.0
Florida,Hunt Research,2024-10-16,2024-10-22,1234.0,49.8,44.25,5.950000000000003
Florida,Mason-Dixon,2024-10-01,2024-10-04,625.0,49.0,43.0,8.0
Florida,St. Pete Polls,2024-10-23,2024-10-25,1227.0,50.3,44.6,5.100000000000001
Florida,Tarrance,2024-10-05,2024-10-08,818.0,51.0,44.0,5.0
Florida,U. North Florida,2024-07-24,2024-07-27,774.0,49.0,42.0,9.0
Florida,U. North Florida,2024-10-07,2024-10-18,977.0,53.0,43.0,4.0
Florida,Victory Insights,2024-09-22,2024-09-25,600.0,46.9,44.9,8.200000000000003
Georgia,Florida Atlantic University/Mainstreet Research,2024-09-05,2024-09-06,567.0,47.0,45.0,8.0
Georgia,Florida Atlantic University/Mainstreet Research,2024-09-05,2024-09-06,647.0,47.0,44.0,9.0
Georgia,Bullfinch,2024-09-20,2024-09-23,600.0,47.0,49.0,4.0
Georgia,ActiVote,2024-10-01,2024-10-17,400.0,50.7,49.3,0.0
Georgia,ActiVote,2024-08-08,2024-09-10,400.0,50.2,49.8,0.0
Georgia,AtlasIntel,2024-10-12,2024-10-17,1411.0,49.8,48.25,1.9500000000000028
Georgia,AtlasIntel,2024-10-25,2024-10-29,1429.0,50.55,47.3,2.1500000000000057
Georgia,AtlasIntel,2024-09-20,2024-09-25,1200.0,49.45,49.0,1.5499999999999972
Georgia,Beacon/Shaw,2024-09-20,2024-09-24,707.0,48.0,50.5,1.5
Georgia,Beacon/Shaw,2024-09-20,2024-09-24,1006.0,47.5,50.0,2.5
Georgia,Beacon/Shaw,2024-08-23,2024-08-26,1014.0,47.0,49.0,4.0
Georgia,Benenson Strategy Group/GS Strategy Group,2024-07-26,2024-08-02,405.0,47.0,47.0,6.0
Georgia,Benenson Strategy Group/GS Strategy Group,2024-09-19,2024-09-25,411.0,48.5,47.0,4.5
Georgia,CES / YouGov,2024-10-01,2024-10-25,2663.0,51.0,46.0,3.0
Georgia,CES / YouGov,2024-10-01,2024-10-25,2682.0,49.0,48.0,3.0
Georgia,CNN/SSRS,2024-08-23,2024-08-29,617.0,47.0,48.0,5.0
Georgia,Emerson,2024-10-05,2024-10-08,1000.0,49.7,49.8,0.5
Georgia,Emerson,2024-07-22,2024-07-23,800.0,48.5,46.099999999999994,5.400000000000006
Georgia,Emerson,2024-08-25,2024-08-28,800.0,49.0,50.1,0.8999999999999986
Georgia,Emerson,2024-09-15,2024-09-18,975.0,50.3,48.2,1.5
Georgia,Fabrizio/GBAO,2024-09-28,2024-10-08,600.0,45.5,47.0,7.5
Georgia,Fabrizio/Impact,2024-07-24,2024-07-31,600.0,47.0,46.0,7.0
Georgia,Fabrizio/McLaughlin,2024-10-06,2024-10-09,800.0,50.0,45.0,5.0
Georgia,Focaldata,2024-08-06,2024-08-16,651.0,49.46666666666667,46.43333333333334,4.099999999999994
Georgia,Focaldata,2024-09-03,2024-09-16,1081.0,47.115,50.925,1.9600000000000009
Georgia,Global Strategy Group/North Star Opinion Research,2024-09-23,2024-09-29,400.0,47.0,46.5,6.5
Georgia,InsiderAdvantage,2024-08-29,2024-08-31,800.0,47.6,48.3,4.100000000000001
Georgia,InsiderAdvantage,2024-09-29,2024-09-30,800.0,48.1,48.3,3.6000000000000014
Georgia,InsiderAdvantage,2024-10-14,2024-10-15,800.0,49.0,47.0,4.0
Georgia,Marist,2024-09-19,2024-09-24,1220.0,50.0,49.0,1.0
Georgia,Marist,2024-09-19,2024-09-24,1420.0,48.0,49.0,3.0
Georgia,Marist,2024-10-17,2024-10-22,1193.0,49.0,49.0,2.0
Georgia,Marist,2024-10-17,2024-10-22,1356.0,48.0,49.0,3.0
Georgia,Morning Consult,2024-08-30,2024-09-08,1405.0,47.51,48.39,4.100000000000001
Georgia,Morning Consult,2024-08-23,2024-08-26,801.0,46.5,48.0,5.5
Georgia,Morning Consult,2024-08-23,2024-08-26,737.0,46.5,49.0,4.5
Georgia,Morning Consult,2024-09-19,2024-09-25,913.0,48.5,48.5,3.0
Georgia,Morning Consult,2024-09-19,2024-09-25,989.0,47.0,48.0,5.0
Georgia,Morning Consult,2024-10-06,2024-10-15,1002.0,49.0,48.0,3.0
Georgia,Morning Consult,2024-10-16,2024-10-20,855.0,49.5,48.0,2.5
Georgia,Morning Consult,2024-10-16,2024-10-20,914.0,48.0,48.0,4.0
Georgia,Morning Consult,2024-07-24,2024-07-28,799.0,46.0,46.0,8.0
Georgia,Morning Consult,2024-09-09,2024-09-18,1347.0,48.63,47.68,3.6899999999999977
Georgia,OnMessage Inc.,2024-09-24,2024-10-02,500.0,47.0,44.0,9.0
Georgia,PPP,2024-07-29,2024-07-30,662.0,47.0,48.0,5.0
Georgia,Patriot Polling,2024-09-01,2024-09-03,814.0,48.9,48.3,2.8000000000000043
Georgia,RMG Research,2024-10-07,2024-10-10,731.0,50.0,47.0,3.0
Georgia,Redfield & Wilton Strategies,2024-10-20,2024-10-22,1168.0,48.0,47.0,5.0
Georgia,Redfield & Wilton Strategies,2024-10-08,2024-10-09,608.0,48.0,47.0,5.0
Georgia,Redfield & Wilton Strategies,2024-09-27,2024-10-02,3783.0,47.0,47.0,6.0
Georgia,Redfield & Wilton Strategies,2024-09-06,2024-09-09,562.0,49.0,47.0,4.0
Georgia,Redfield & Wilton Strategies,2024-10-12,2024-10-14,637.0,47.0,47.0,6.0
Georgia,Redfield & Wilton Strategies,2024-10-25,2024-10-27,1112.0,48.0,47.0,5.0
Georgia,Redfield & Wilton Strategies,2024-07-22,2024-07-24,1180.0,47.0,42.0,11.0
Georgia,Redfield & Wilton Strategies,2024-08-25,2024-08-28,699.0,44.0,42.0,14.0
Georgia,Redfield & Wilton Strategies,2024-10-16,2024-10-18,1019.0,48.0,47.0,5.0
Georgia,Redfield & Wilton Strategies,2024-07-31,2024-08-03,1128.0,46.0,44.0,10.0
Georgia,Redfield & Wilton Strategies,2024-08-12,2024-08-15,692.0,46.0,46.0,8.0
Georgia,Redfield & Wilton Strategies,2024-09-16,2024-09-19,1043.0,48.0,46.0,6.0
Georgia,Siena/NYT,2024-09-17,2024-09-21,682.0,47.5,44.0,8.5
Georgia,Siena/NYT,2024-08-09,2024-08-14,661.0,48.75,43.75,7.5
Georgia,SoCal Strategies,2024-10-26,2024-10-27,658.0,50.0,49.0,1.0
Georgia,Spry Strategies,2024-08-14,2024-08-20,600.0,48.7,47.849999999999994,3.450000000000003
Georgia,TIPP,2024-09-16,2024-09-18,835.0,47.95,47.7,4.349999999999994
Georgia,TIPP,2024-09-16,2024-09-18,1046.0,44.9,46.95,8.149999999999999
Georgia,TIPP,2024-10-14,2024-10-16,813.0,48.5,48.65,2.8500000000000014
Georgia,TIPP,2024-10-14,2024-10-16,1029.0,45.3,48.55,6.150000000000006
Georgia,Trafalgar Group,2024-10-07,2024-10-08,1089.0,46.2,44.9,8.899999999999999
Georgia,Trafalgar Group,2024-10-24,2024-10-26,1087.0,48.3,45.9,5.800000000000004
Georgia,Trafalgar Group,2024-09-12,2024-09-15,1098.0,46.2,44.5,9.299999999999997
Georgia,Washington Post/George Mason University,2024-09-30,2024-10-15,730.0,45.5,50.5,4.0
Georgia,YouGov,2024-09-20,2024-09-24,1441.0,51.0,49.0,0.0
Georgia,East Carolina University,2024-10-09,2024-10-14,701.0,48.9,45.8,5.300000000000004
Georgia,Landmark Communications,2024-07-22,2024-07-22,400.0,46.9,45.5,7.600000000000001
Georgia,Quinnipiac,2024-09-25,2024-09-29,942.0,50.0,44.5,5.5
Georgia,Quinnipiac,2024-10-10,2024-10-14,1328.0,52.0,45.5,2.5
Georgia,Quinnipiac,2024-09-04,2024-09-08,969.0,49.0,45.5,5.5
Georgia,SoCal Research,2024-07-25,2024-07-26,505.0,49.9,46.4,3.700000000000003
Georgia,U. Georgia SPIA,2024-09-09,2024-09-15,1000.0,46.9,44.4,8.700000000000003
Georgia,U. Georgia SPIA,2024-10-07,2024-10-16,1000.0,47.0,43.4,9.600000000000001
Illinois,ActiVote,2024-08-06,2024-08-29,400.0,42.2,57.8,0.0
Illinois,ActiVote,2024-09-03,2024-10-05,400.0,41.2,58.8,0.0
Illinois,ActiVote,2024-10-04,2024-10-28,400.0,41.6,58.4,0.0
Indiana,ActiVote,2024-08-28,2024-09-30,400.0,57.0,43.0,0.0
Indiana,ActiVote,2024-10-03,2024-10-28,400.0,57.7,42.3,0.0
Indiana,Emerson,2024-09-12,2024-09-13,1000.0,57.9,40.7,1.3999999999999986
Indiana,ARW Strategies,2024-09-23,2024-09-25,600.0,55.0,39.0,6.0
Indiana,Lake Research,2024-08-26,2024-09-02,600.0,52.0,42.0,6.0
Iowa,Cygnal,2024-09-27,2024-09-28,600.0,51.3,44.6,4.100000000000001
Iowa,Selzer,2024-09-08,2024-09-11,656.0,47.0,43.0,10.0
Kansas,Fort Hays State University,2024-09-26,2024-10-16,608.0,49.9,39.4,10.700000000000003
Kansas,Fort Hays State University,2024-09-26,2024-10-16,517.0,48.2,43.2,8.599999999999994
Maine,Digital Research,2024-09-10,2024-10-07,604.0,41.0,48.0,11.0
Maine,Pan Atlantic Research,2024-09-05,2024-09-15,812.0,41.0,50.0,9.0
Maine,U. New Hampshire,2024-07-23,2024-07-25,1445.0,42.5,51.0,6.5
Maine,U. New Hampshire,2024-08-15,2024-08-19,951.0,39.5,56.5,4.0
Maine CD-1,Digital Research,2024-09-10,2024-10-07,303.0,33.0,56.0,11.0
Maine CD-1,Pan Atlantic Research,2024-09-05,2024-09-15,414.0,32.0,58.0,10.0
Maine CD-1,U. New Hampshire,2024-07-23,2024-07-25,732.0,37.5,58.0,4.5
Maine CD-1,U. New Hampshire,2024-08-15,2024-08-19,490.0,33.0,62.0,5.0
Maine CD-1,U. New Hampshire,2024-08-15,2024-08-19,476.0,36.0,64.0,0.0
Maine CD-2,Digital Research,2024-09-10,2024-10-07,301.0,49.0,40.0,11.0
Maine CD-2,Pan Atlantic Research,2024-09-05,2024-09-15,398.0,49.0,42.0,9.0
Maine CD-2,U. New Hampshire,2024-07-23,2024-07-25,701.0,47.5,44.5,8.0
Maine CD-2,U. New Hampshire,2024-08-15,2024-08-19,432.0,47.0,52.0,1.0
Maine CD-2,U. New Hampshire,2024-08-15,2024-08-19,443.0,44.0,49.0,7.0
Maine CD-2,Axis Research,2024-10-17,2024-10-20,411.0,50.0,41.0,9.0
Maryland,ActiVote,2024-09-08,2024-10-14,400.0,37.1,62.9,0.0
Maryland,Emerson,2024-10-19,2024-10-21,865.0,34.4,64.0,1.5999999999999943
Maryland,Emerson,2024-09-12,2024-09-13,890.0,33.3,65.3,1.4000000000000057
Maryland,Fabrizio/Impact,2024-08-14,2024-08-20,600.0,30.5,61.5,8.0
Maryland,Morning Consult,2024-08-30,2024-09-08,640.0,34.13,62.23,3.6400000000000077
Maryland,Morning Consult,2024-10-06,2024-10-15,490.0,31.0,64.0,5.0
Maryland,Morning Consult,2024-09-09,2024-09-18,578.0,33.04,61.41,5.550000000000011
Maryland,PPP,2024-09-16,2024-09-17,543.0,33.0,64.0,3.0
Maryland,Gonzales Research & Media Services,2024-08-24,2024-08-30,820.0,35.0,56.0,9.0
Maryland,UMBC,2024-09-23,2024-09-28,863.0,35.0,57.0,8.0
Maryland,University of Maryland/Washington Post,2024-09-19,2024-09-23,1012.0,31.5,62.5,6.0
Maryland,University of Maryland/Washington Post,2024-10-17,2024-10-22,1000.0,33.0,61.0,6.0
Massachusetts,ActiVote,2024-09-06,2024-10-16,400.0,33.4,66.6,0.0
Massachusetts,Emerson,2024-10-24,2024-10-26,1000.0,37.2,60.2,2.5999999999999943
Massachusetts,Suffolk,2024-10-01,2024-10-05,500.0,32.2,61.2,6.599999999999994
Massachusetts,MassINC Polling Group,2024-09-12,2024-09-18,800.0,33.5,61.5,5.0
Massachusetts,U. New Hampshire,2024-09-12,2024-09-16,564.0,31.0,62.0,7.0
Massachusetts,UMass Amherst/YouGov,2024-10-03,2024-10-10,700.0,30.0,56.0,14.0
Michigan,Bullfinch,2024-08-08,2024-08-11,500.0,41.5,47.0,11.5
Michigan,Bullfinch,2024-10-11,2024-10-17,600.0,44.0,52.0,4.0
Michigan,Cygnal,2024-08-28,2024-09-01,600.0,46.0,47.0,7.0
Michigan,ActiVote,2024-09-15,2024-10-09,400.0,48.8,51.2,0.0
Michigan,ActiVote,2024-07-28,2024-08-28,400.0,49.9,50.1,0.0
Michigan,AtlasIntel,2024-10-12,2024-10-17,1529.0,49.900000000000006,47.05,3.049999999999997
Michigan,AtlasIntel,2024-10-25,2024-10-29,983.0,49.25,48.0,2.75
Michigan,AtlasIntel,2024-09-20,2024-09-25,918.0,50.5,46.900000000000006,2.5999999999999943
Michigan,Beacon/Shaw,2024-07-22,2024-07-24,1012.0,47.0,46.0,7.0
Michigan,Benenson Strategy Group/GS Strategy Group,2024-07-26,2024-08-02,406.0,45.0,47.5,7.5
Michigan,Benenson Strategy Group/GS Strategy Group,2024-09-19,2024-09-25,416.0,47.0,50.0,3.0
Michigan,CES / YouGov,2024-10-01,2024-10-25,2336.0,46.0,51.0,3.0
Michigan,CES / YouGov,2024-10-01,2024-10-25,2347.0,45.0,52.0,3.0
Michigan,CNN/SSRS,2024-08-23,2024-08-29,708.0,43.0,48.0,9.0
Michigan,CNN/SSRS,2024-10-23,2024-10-28,726.0,43.0,48.0,9.0
Michigan,Emerson,2024-10-25,2024-10-27,1000.0,49.8,49.3,0.9000000000000057
Michigan,Emerson,2024-10-05,2024-10-08,950.0,49.6,49.7,0.6999999999999957
Michigan,Emerson,2024-07-22,2024-07-23,800.0,47.5,46.45,6.049999999999997
Michigan,Emerson,2024-08-25,2024-08-28,800.0,47.6,51.2,1.1999999999999957
Michigan,Emerson,2024-09-15,2024-09-18,875.0,49.1,50.0,0.8999999999999986
Michigan,Fabrizio/GBAO,2024-09-28,2024-10-08,600.0,46.0,48.0,6.0
Michigan,Fabrizio/Impact,2024-08-07,2024-08-11,600.0,46.5,45.5,8.0
Michigan,Fabrizio/Impact,2024-10-02,2024-10-08,600.0,47.5,47.0,5.5
